millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
73150	18130.38	19234.70	0.00	0.00	1.50	125.00	1	1	2	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73166	18129.19	19246.59	0.00	0.00	1.50	125.00	1	1	2	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73181	18126.81	19258.48	0.00	0.00	1.50	125.00	1	1	1	0	0	0	0	0	1	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73196	18125.63	19269.18	0.00	0.00	1.50	125.00	1	0	0	0	1	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73211	18123.25	19281.06	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73226	18120.87	19292.95	0.00	0.00	1.50	125.00	1	1	0	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73241	18118.49	19304.84	0.00	0.00	1.50	125.00	1	8	2	1	1	1	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73256	18117.30	19317.91	0.00	0.00	1.50	125.00	1	2	3	3	2	0	0	1	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73271	18113.74	19329.80	0.00	0.00	1.50	125.00	1	923	2	14	14	5	2	2	1	-3500	125	0	0	1	0.16	0.00	1.50	125.00	1
73286	18112.55	19341.69	0.00	0.00	1.50	125.00	1	971	975	2	13	27	6	2	1	-2999	0	125	0	1	0.16	0.00	1.50	125.00	1
73301	18112.55	19353.58	0.00	0.00	1.50	125.00	1	141	1000	1000	3	13	35	9	3	-2099	0	125	0	1	0.16	0.00	1.50	125.00	1
73316	18112.55	19364.27	0.00	0.00	1.50	125.00	1	1	438	1000	1000	1	5	5	2	-1270	0	125	0	1	0.16	0.00	1.50	125.00	1
73331	18113.74	19374.97	0.00	0.00	1.50	125.00	1	0	0	975	970	715	3	3	1	-598	0	125	0	1	0.16	0.00	1.50	125.00	1
73346	18116.12	19384.48	0.00	0.00	1.50	125.00	1	2	2	1	1000	855	1	2	0	-40	0	125	0	1	0.16	0.00	1.50	125.00	1
73361	18119.68	19392.80	0.00	0.00	1.50	125.00	1	1	0	0	863	845	910	3	1	517	0	125	0	1	0.16	0.00	1.50	125.00	1
73377	18124.44	19402.31	0.00	0.00	1.50	125.00	1	2	2	0	0	844	887	2	1	1012	0	125	0	1	0.16	0.00	1.50	125.00	1
73392	18129.19	19410.63	0.00	0.00	1.50	125.00	1	2	3	1	0	845	907	23	2	1017	0	125	0	1	0.16	0.00	1.50	125.00	1
73407	18135.14	19417.77	0.00	0.00	1.50	125.00	1	3	2	1	0	803	908	866	15	1524	0	125	0	1	0.16	0.00	1.50	125.00	1
73422	18141.08	19424.90	0.00	0.00	1.50	125.00	1	1	1	0	0	768	923	901	598	1916	0	125	0	1	0.16	0.00	1.50	125.00	1
73437	18148.21	19430.84	0.00	0.00	1.50	125.00	1	2	2	0	0	781	932	905	836	2019	0	125	0	2	0.16	0.00	1.50	125.00	1
73453	18155.34	19436.79	0.00	0.00	1.50	125.00	1	1	0	0	0	820	900	892	1000	2073	0	125	0	2	0.16	0.00	1.50	125.00	1
73468	18163.67	19442.73	0.00	0.00	1.50	125.00	1	2	1	0	0	855	904	867	937	2029	0	125	0	2	0.16	0.00	1.50	125.00	1
73483	18171.99	19447.48	0.00	0.00	1.50	125.00	1	2	1	0	0	826	910	889	955	2051	0	125	0	2	0.16	0.00	1.50	125.00	1
73498	18181.50	19452.24	0.00	0.00	1.50	125.00	1	1	1	0	0	1	2	4	3	3500	0	125	1	2	0.16	0.00	1.50	125.00	1
73513	18189.82	19456.99	0.00	0.00	1.50	125.00	1	2	3	1	0	0	1	1	1	3500	0	125	1	2	0.16	0.00	1.50	125.00	1
